iter	Passed	Remaining
0	23	23267
1	44	22128
2	66	22071
3	87	21701
4	107	21346
5	129	21436
6	150	21409
7	172	21417
8	194	21425
9	216	21468
10	240	21642
11	261	21526
12	283	21558
13	304	21474
14	326	21409
15	348	21448
16	371	21476
17	393	21449
18	414	21417
19	435	21344
20	458	21365
21	479	21328
22	503	21389
23	526	21430
24	551	21502
25	572	21437
26	593	21376
27	614	21337
28	635	21277
29	657	21254
30	679	21225
31	701	21208
32	725	21256
33	748	21272
34	769	21226
35	792	21223
36	814	21186
37	837	21204
38	861	21232
39	886	21277
40	910	21299
41	932	21266
42	955	21273
43	978	21259
44	1002	21273
45	1025	21272
46	1049	21271
47	1070	21234
48	1093	21222
49	1115	21192
50	1136	21153
51	1160	21160
52	1183	21139
53	1205	21124
54	1227	21091
55	1249	21056
56	1270	21020
57	1294	21019
58	1317	21013
59	1341	21009
60	1362	20970
61	1384	20946
62	1405	20908
63	1428	20887
64	1451	20882
65	1474	20869
66	1497	20855
67	1519	20826
68	1541	20793
69	1563	20766
70	1584	20735
71	1606	20710
72	1628	20685
73	1651	20660
74	1674	20650
75	1696	20627
76	1719	20611
77	1741	20583
78	1764	20569
79	1786	20543
80	1807	20508
81	1830	20493
82	1854	20488
83	1875	20453
84	1898	20432
85	1919	20402
86	1941	20377
87	1963	20352
88	1987	20338
89	2010	20330
90	2032	20303
91	2055	20285
92	2077	20260
93	2100	20247
94	2122	20218
95	2144	20193
96	2166	20171
97	2189	20153
98	2212	20135
99	2234	20108
100	2257	20097
101	2282	20092
102	2305	20081
103	2334	20108
104	2357	20093
105	2380	20073
106	2402	20047
107	2423	20019
108	2447	20005
109	2471	19994
110	2493	19974
111	2516	19956
112	2540	19939
113	2562	19918
114	2585	19897
115	2609	19882
116	2631	19862
117	2654	19840
118	2677	19819
119	2699	19796
120	2723	19782
121	2746	19762
122	2767	19735
123	2789	19707
124	2813	19692
125	2838	19687
126	2860	19660
127	2883	19646
128	2906	19624
129	2928	19595
130	2953	19589
131	2976	19573
132	2999	19552
133	3021	19524
134	3044	19508
135	3073	19526
136	3101	19534
137	3127	19534
138	3155	19548
139	3178	19526
140	3202	19512
141	3226	19495
142	3254	19503
143	3282	19513
144	3306	19497
145	3331	19485
146	3357	19483
147	3384	19481
148	3407	19462
149	3433	19458
150	3460	19457
151	3489	19465
152	3516	19466
153	3540	19452
154	3564	19431
155	3587	19408
156	3609	19381
157	3633	19365
158	3657	19346
159	3680	19322
160	3701	19290
161	3725	19269
162	3748	19247
163	3771	19224
164	3794	19201
165	3817	19178
166	3840	19156
167	3864	19138
168	3889	19123
169	3917	19126
170	3949	19147
171	3974	19133
172	4001	19127
173	4027	19118
174	4053	19107
175	4083	19116
176	4107	19099
177	4134	19092
178	4161	19086
179	4185	19068
180	4212	19060
181	4236	19039
182	4262	19031
183	4290	19026
184	4315	19013
185	4340	18994
186	4362	18964
187	4384	18937
188	4407	18914
189	4430	18888
190	4453	18863
191	4475	18836
192	4497	18805
193	4521	18786
194	4545	18764
195	4567	18737
196	4589	18706
197	4614	18690
198	4639	18674
199	4662	18651
200	4687	18632
201	4710	18609
202	4733	18584
203	4758	18569
204	4781	18544
205	4810	18539
206	4838	18536
207	4864	18522
208	4892	18515
209	4919	18506
210	4946	18495
211	4973	18484
212	4997	18464
213	5024	18456
214	5051	18445
215	5076	18424
216	5102	18412
217	5126	18391
218	5155	18385
219	5178	18360
220	5202	18337
221	5227	18319
222	5249	18289
223	5271	18262
224	5293	18231
225	5315	18204
226	5339	18182
227	5362	18155
228	5384	18129
229	5408	18105
230	5436	18097
231	5461	18078
232	5488	18068
233	5516	18057
234	5541	18040
235	5569	18028
236	5593	18008
237	5621	17999
238	5649	17988
239	5674	17968
240	5702	17958
241	5725	17933
242	5749	17910
243	5772	17884
244	5794	17857
245	5820	17840
246	5848	17829
247	5874	17812
248	5903	17805
249	5931	17793
250	5956	17775
251	5984	17763
252	6010	17747
253	6035	17725
254	6063	17714
255	6087	17690
256	6112	17670
257	6135	17645
258	6156	17614
259	6180	17589
